date,dailyreturn
2018-01-15,0.19
2018-01-16,0.74
2018-01-17,0.23
2018-01-18,0.44
2018-01-19,0.28
2018-01-22,0.15
2018-01-23,2.07
2018-01-24,-0.30
2018-01-25,0.00
2018-01-26,0.68
2018-01-29,0.30
2018-01-30,-1.57
2018-01-31,0.46
2018-02-01,-0.11
2018-02-02,0.46
2018-02-05,-0.59
2018-02-06,-1.69
2018-02-07,0.87
2018-02-08,0.15
2018-02-09,-0.60
2018-02-12,0.28
2018-02-13,0.84
2018-02-14,0.25
2018-02-15,-0.04
2018-02-19,1.48
2018-02-20,-0.39
2018-02-21,-0.29
2018-02-22,-0.76
2018-02-23,0.41
2018-02-26,-0.98
2018-02-27,0.68
2018-02-28,-0.03
2018-03-01,0.13
2018-03-02,-0.36
2018-03-05,-0.48
2018-03-06,-0.77
2018-03-07,-2.03
2018-03-08,1.17
2018-03-09,-0.15
2018-03-12,1.05
2018-03-13,-1.35
2018-03-14,-0.47
2018-03-15,-0.95
2018-03-16,-0.27
2018-03-19,-0.24
2018-03-20,-0.73
2018-03-21,1.11
2018-03-22,-0.93
2018-03-23,-0.69
2018-03-26,-0.17
2018-03-27,0.15
2018-03-28,-1.10
2018-03-29,0.78
2018-04-02,0.83
2018-04-03,-0.19
2018-04-04,-1.15
2018-04-05,0.42
2018-04-06,-0.13
2018-04-09,1.15
2018-04-10,1.28
2018-04-11,0.56
2018-04-12,-0.79
2018-04-13,-0.64
2018-04-16,0.26
2018-04-17,-0.02
2018-04-18,0.54
2018-04-19,0.57
2018-04-20,-0.29
2018-04-23,-0.47
2018-04-24,-1.24
2018-04-25,-2.40
2018-04-26,-2.81
2018-04-27,0.17
2018-04-30,1.27
2018-05-02,0.29
2018-05-03,-2.55
2018-05-04,-1.13
2018-05-07,1.60
2018-05-08,-1.88
2018-05-09,2.31
2018-05-11,0.83
2018-05-14,-0.16
2018-05-15,-1.83
2018-05-16,0.06
2018-05-17,-0.44
2018-05-18,-0.56
2018-05-21,-0.86
2018-05-22,0.30
2018-05-23,0.71
2018-05-24,2.67
2018-05-25,0.49
2018-05-28,1.55
2018-05-30,-0.94
2018-05-31,-0.46
2018-06-04,0.52
2018-06-05,1.23
2018-06-06,-0.31
2018-06-07,0.61
2018-06-08,-1.85
2018-06-20,-1.83
2018-06-21,-1.05
2018-06-22,-0.01
2018-06-25,0.64
2018-06-26,-0.57
2018-06-27,-0.65
2018-06-28,-2.08
2018-06-29,2.33
2018-07-02,-0.90
2018-07-03,-1.96
2018-07-04,1.77
2018-07-05,0.10
2018-07-06,-0.77
2018-07-09,1.97
2018-07-10,1.28
2018-07-11,0.20
2018-07-12,0.25
2018-07-13,0.61
2018-07-16,-0.65
2018-07-17,-0.74
